keyword,cluster,content_type,source,intent,audience,target_url,priority
fístula anal curitiba,landing-sintomas-condicoes,landing-page,landing-copy,consideration,patients,/,P2
hemorroidas curitiba,landing-sintomas-condicoes,landing-page,landing-copy,consideration,patients,/,P2
hpv anal curitiba,landing-sintomas-condicoes,landing-page,landing-copy,consideration,patients,/,P2
prurido anal curitiba,landing-sintomas-condicoes,landing-page,landing-copy,awareness,patients,/,P2
síndrome do intestino irritável curitiba,landing-sintomas-condicoes,landing-page,landing-copy,consideration,patients,/,P2
tratamentos minimamente invasivos coloproctologia,landing-tratamentos,landing-page,landing-copy,consideration,patients,/,P2
cirurgia a laser plicoma,plicoma anal,blog-post,blog-secondary,consideration,patients,/blog/plicoma-anal-cirurgia-laser,P2
higiene anal difícil,plicoma anal,blog-post,blog-secondary,consideration,patients,/blog/plicoma-anal-cirurgia-laser,P2
plicoma anal,plicoma anal,blog-post,blog-primary,consideration,patients,/blog/plicoma-anal-cirurgia-laser,P2
recuperação plicoma,plicoma anal,blog-post,blog-secondary,consideration,patients,/blog/plicoma-anal-cirurgia-laser,P2
sobras de pele anal,plicoma anal,blog-post,blog-secondary,consideration,patients,/blog/plicoma-anal-cirurgia-laser,P2
coloproctologista Curitiba,quando procurar coloproctologista,blog-post,blog-secondary,awareness,patients,/blog/quando-procurar-coloproctologista-curitiba,P2
médico intestino Curitiba,quando procurar coloproctologista,blog-post,blog-secondary,awareness,patients,/blog/quando-procurar-coloproctologista-curitiba,P2
proctologista Curitiba,quando procurar coloproctologista,blog-post,blog-secondary,awareness,patients,/blog/quando-procurar-coloproctologista-curitiba,P2
HPV canal anal,Rastreio de Câncer Anal e HPV,treatment-page,metadata-keywords,decision,patients,/tratamentos/rastreio-cancer-anal,P2
IANS coloproctologia,Rastreio de Câncer Anal e HPV,treatment-page,metadata-keywords,decision,patients,/tratamentos/rastreio-cancer-anal,P2
prevenção cancer anal,Rastreio de Câncer Anal e HPV,treatment-page,metadata-keywords,decision,patients,/tratamentos/rastreio-cancer-anal,P2
rastreio de câncer anal e hpv,Rastreio de Câncer Anal e HPV,treatment-page,title-topic,decision,patients,/tratamentos/rastreio-cancer-anal,P2
coloproctologista Curitiba,sangue nas fezes,blog-post,blog-secondary,awareness,patients,/blog/sangue-nas-fezes-quando-procurar-coloproctologista,P2
coloproctologista Curitiba,saúde sexual,blog-post,blog-secondary,awareness,patients,/blog/saude-sexual-cuidado-informacao-bem-estar,P2
coloproctologista em Curitiba,sinais de alerta intestinais,blog-post,blog-secondary,awareness,patients,/blog/quando-intestino-da-sinais-de-alerta-coloproctologista-curitiba,P2
coloproctologista Curitiba,síndrome do intestino irritável,blog-post,blog-secondary,awareness,patients,/blog/sindrome-intestino-irritavel-sintomas-diagnostico-tratamento,P2
disturbio funcional intestinal,Síndrome do Intestino Irritável (SII),treatment-page,metadata-keywords,decision,patients,/tratamentos/sindrome-intestino-irritavel,P2
dor abdominal cronica,Síndrome do Intestino Irritável (SII),treatment-page,metadata-keywords,decision,patients,/tratamentos/sindrome-intestino-irritavel,P2
intestino irritavel tratamento,Síndrome do Intestino Irritável (SII),treatment-page,metadata-keywords,decision,patients,/tratamentos/sindrome-intestino-irritavel,P2
síndrome do intestino irritável (sii),Síndrome do Intestino Irritável (SII),treatment-page,title-topic,decision,patients,/tratamentos/sindrome-intestino-irritavel,P2
coloproctologista em Curitiba,sintomas intestinais persistentes,blog-post,blog-secondary,consideration,patients,/blog/por-que-meus-sintomas-nunca-melhoram,P2
exames normais e sintomas,sintomas intestinais persistentes,blog-post,blog-secondary,consideration,patients,/blog/por-que-meus-sintomas-nunca-melhoram,P2
hemorroidas recorrentes,sintomas intestinais persistentes,blog-post,blog-secondary,consideration,patients,/blog/por-que-meus-sintomas-nunca-melhoram,P2
intestino desregulado,sintomas intestinais persistentes,blog-post,blog-secondary,consideration,patients,/blog/por-que-meus-sintomas-nunca-melhoram,P2
laxantes irritativos,sintomas intestinais persistentes,blog-post,blog-secondary,consideration,patients,/blog/por-que-meus-sintomas-nunca-melhoram,P2
sintomas intestinais persistentes,sintomas intestinais persistentes,blog-post,blog-primary,consideration,patients,/blog/por-que-meus-sintomas-nunca-melhoram,P2
procedimento minimamente invasivo,Toxina Botulínica para Fissura Anal,treatment-page,metadata-keywords,decision,patients,/tratamentos/toxina-botulinica,P2
toxina botulínica para fissura anal,Toxina Botulínica para Fissura Anal,treatment-page,title-topic,decision,patients,/tratamentos/toxina-botulinica,P2
tratamento fissura anal,Toxina Botulínica para Fissura Anal,treatment-page,metadata-keywords,decision,patients,/tratamentos/toxina-botulinica,P2
coloproctologista em Curitiba,vergonha de procurar coloproctologista,blog-post,blog-secondary,awareness,patients,/blog/sinto-vergonha-procurar-coloproctologista-isso-e-normal,P2
acompanhamento significa consulta frequente,acompanhamento especializado,blog-post,faq-question,consideration,patients,/blog/o-que-muda-acompanhamento-especializado-coloproctologista-curitiba,P3
o acompanhamento evita cirurgia,acompanhamento especializado,blog-post,faq-question,consideration,patients,/blog/o-que-muda-acompanhamento-especializado-coloproctologista-curitiba,P3
preciso retornar mesmo se estiver melhor,acompanhamento especializado,blog-post,faq-question,consideration,patients,/blog/o-que-muda-acompanhamento-especializado-coloproctologista-curitiba,P3
vale a pena mesmo quando o problema parece simples,acompanhamento especializado,blog-post,faq-question,consideration,patients,/blog/o-que-muda-acompanhamento-especializado-coloproctologista-curitiba,P3
alimentação e saúde intestinal,alimentação e saúde intestinal,blog-post,blog-primary,awareness,patients,/blog/alimentacao-e-saude-intestinal,P3
beber mais água ajuda meu intestino,alimentação e saúde intestinal,blog-post,faq-question,awareness,patients,/blog/alimentacao-e-saude-intestinal,P3
como melhorar o intestino,alimentação e saúde intestinal,blog-post,blog-secondary,awareness,patients,/blog/alimentacao-e-saude-intestinal,P3
dieta para constipação,alimentação e saúde intestinal,blog-post,blog-secondary,awareness,patients,/blog/alimentacao-e-saude-intestinal,P3
fibras intestino,alimentação e saúde intestinal,blog-post,blog-secondary,awareness,patients,/blog/alimentacao-e-saude-intestinal,P3
hidratação e intestino,alimentação e saúde intestinal,blog-post,blog-secondary,awareness,patients,/blog/alimentacao-e-saude-intestinal,P3
posso usar laxantes naturais todos os dias,alimentação e saúde intestinal,blog-post,faq-question,awareness,patients,/blog/alimentacao-e-saude-intestinal,P3
quanta fibra devo consumir por dia,alimentação e saúde intestinal,blog-post,faq-question,awareness,patients,/blog/alimentacao-e-saude-intestinal,P3
ritmo intestinal,alimentação e saúde intestinal,blog-post,blog-secondary,awareness,patients,/blog/alimentacao-e-saude-intestinal,P3
blog coloproctologia,blog coloproctologia,blog-hub,metadata-keywords,awareness,general-public,/blog,P3
cirurgia laser coloproctologia,blog coloproctologia,blog-hub,metadata-keywords,awareness,general-public,/blog,P3
cisto pilonidal,blog coloproctologia,blog-hub,metadata-keywords,awareness,general-public,/blog,P3
plicoma anal,blog coloproctologia,blog-hub,metadata-keywords,awareness,general-public,/blog,P3
prevenção câncer colorretal,blog coloproctologia,blog-hub,metadata-keywords,awareness,general-public,/blog,P3
saúde intestinal,blog coloproctologia,blog-hub,metadata-keywords,awareness,general-public,/blog,P3
tratamento hemorroidas,blog coloproctologia,blog-hub,metadata-keywords,awareness,general-public,/blog,P3
a colonoscopia é segura,câncer colorretal,blog-post,faq-question,awareness,patients,/blog/cancer-colorretal-rastreio-prevencao-diagnostico-precoce,P3
câncer colorretal,câncer colorretal,blog-post,blog-primary,awareness,patients,/blog/cancer-colorretal-rastreio-prevencao-diagnostico-precoce,P3
colonoscopia preventiva,câncer colorretal,blog-post,blog-secondary,awareness,patients,/blog/cancer-colorretal-rastreio-prevencao-diagnostico-precoce,P3
com que frequência devo repetir a colonoscopia,câncer colorretal,blog-post,faq-question,awareness,patients,/blog/cancer-colorretal-rastreio-prevencao-diagnostico-precoce,P3
diagnóstico precoce câncer de intestino,câncer colorretal,blog-post,blog-secondary,awareness,patients,/blog/cancer-colorretal-rastreio-prevencao-diagnostico-precoce,P3
o rastreio é necessário mesmo sem sintomas,câncer colorretal,blog-post,faq-question,awareness,patients,/blog/cancer-colorretal-rastreio-prevencao-diagnostico-precoce,P3
pólipos intestinais,câncer colorretal,blog-post,blog-secondary,awareness,patients,/blog/cancer-colorretal-rastreio-prevencao-diagnostico-precoce,P3
rastreio câncer colorretal,câncer colorretal,blog-post,blog-secondary,awareness,patients,/blog/cancer-colorretal-rastreio-prevencao-diagnostico-precoce,P3
se eu tiver pólipos é câncer,câncer colorretal,blog-post,faq-question,awareness,patients,/blog/cancer-colorretal-rastreio-prevencao-diagnostico-precoce,P3
a cirurgia a laser dói,cisto pilonidal,blog-post,faq-question,consideration,patients,/blog/cisto-pilonidal-cirurgia-laser-quando-operar,P3
o cisto pilonidal some sozinho,cisto pilonidal,blog-post,faq-question,consideration,patients,/blog/cisto-pilonidal-cirurgia-laser-quando-operar,P3
preciso operar mesmo sem sintomas agora,cisto pilonidal,blog-post,faq-question,consideration,patients,/blog/cisto-pilonidal-cirurgia-laser-quando-operar,P3
quanto tempo para recuperar,cisto pilonidal,blog-post,faq-question,consideration,patients,/blog/cisto-pilonidal-cirurgia-laser-quando-operar,P3
causas coceira anal,coceira anal,blog-post,blog-secondary,awareness,patients,/blog/coceira-anal-quando-procurar-coloproctologista-curitiba,P3
coceira anal,coceira anal,blog-post,blog-primary,awareness,patients,/blog/coceira-anal-quando-procurar-coloproctologista-curitiba,P3
coceira anal é sempre sinal de doença,coceira anal,blog-post,faq-question,awareness,patients,/blog/coceira-anal-quando-procurar-coloproctologista-curitiba,P3
doenças orificiais,coceira anal,blog-post,blog-secondary,awareness,patients,/blog/coceira-anal-quando-procurar-coloproctologista-curitiba,P3
é normal ter coceira anal à noite,coceira anal,blog-post,faq-question,awareness,patients,/blog/coceira-anal-quando-procurar-coloproctologista-curitiba,P3
o que posso fazer para prevenir a coceira anal,coceira anal,blog-post,faq-question,awareness,patients,/blog/coceira-anal-quando-procurar-coloproctologista-curitiba,P3
posso usar pomadas por conta própria,coceira anal,blog-post,faq-question,awareness,patients,/blog/coceira-anal-quando-procurar-coloproctologista-curitiba,P3
